<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240125;095945;2650.000000000;2;9463801524;B
20240125;095945;2650.000000000;198;9463801525;B
20240125;095945;2650.000000000;2;9463801526;B
20240125;095945;2650.000000000;40;9463801527;B
20240125;095945;2650.000000000;3;9463801528;B
20240125;095945;2650.000000000;61;9463801529;B
20240125;095945;2650.000000000;1;9463801530;B
20240125;095945;2650.000000000;93;9463801531;B
20240125;095945;2650.000000000;3;9463801532;B
20240125;095945;2650.000000000;1;9463801533;B
20240125;095945;2650.000000000;3;9463801534;B
20240125;095945;2650.000000000;2;9463801535;B
20240125;095945;2650.000000000;3;9463801536;S
20240125;095945;2650.000000000;7;9463801537;S
20240125;095945;2650.000000000;1;9463801538;S
20240125;095945;2650.000000000;1;9463801539;S
20240125;095945;2650.000000000;20;9463801540;S
20240125;095945;2650.000000000;2;9463801541;S
20240125;095945;2650.000000000;27;9463801542;B
20240125;095945;2650.000000000;1;9463801543;B
20240125;095945;2650.000000000;36;9463801544;B
20240125;095945;2650.000000000;2;9463801545;B
20240125;095945;2650.000000000;2;9463801546;B
20240125;095945;2650.000000000;60;9463801547;B
20240125;095945;2650.000000000;15;9463801548;B
20240125;095945;2650.000000000;1;9463801549;B
20240125;095945;2650.000000000;5;9463801550;S
20240125;095945;2650.000000000;10;9463801551;S
20240125;095945;2650.000000000;2;9463801552;S
20240125;095945;2650.000000000;50;9463801553;S
20240125;095945;2650.000000000;33;9463801554;S
20240125;095945;2650.000000000;1;9463801555;B
20240125;095945;2650.000000000;1;9463801556;B
20240125;095945;2650.000000000;2;9463801557;B
20240125;095945;2650.000000000;2;9463801558;B
20240125;095945;2650.000000000;8;9463801559;B
20240125;095945;2650.000000000;4;9463801560;B
20240125;095945;2650.000000000;1;9463801561;B
20240125;095945;2650.000000000;1;9463801562;B
20240125;095945;2650.000000000;1;9463801563;B
20240125;095945;2650.000000000;2;9463801564;B
20240125;095945;2650.000000000;1;9463801565;B
20240125;095945;2650.000000000;7;9463801566;B
20240125;095945;2650.000000000;15;9463801567;B
20240125;095945;2650.000000000;20;9463801568;B
20240125;095945;2650.000000000;1;9463801569;B
20240125;095945;2650.000000000;3;9463801570;B
20240125;095945;2650.000000000;1;9463801571;B
20240125;095945;2650.000000000;1;9463801572;B
20240125;095945;2650.000000000;1;9463801573;B
20240125;095945;2650.000000000;2;9463801574;B
20240125;095945;2650.000000000;1;9463801575;B
20240125;095945;2650.000000000;91;9463801576;B
20240125;095945;2650.000000000;50;9463801577;B
20240125;095945;2650.000000000;10;9463801578;B
20240125;095945;2650.000000000;10;9463801579;B
20240125;095945;2650.000000000;2;9463801580;S
20240125;095945;2650.000000000;80;9463801581;B
20240125;095945;2650.000000000;20;9463801582;B
20240125;095945;2650.000000000;115;9463801583;B
20240125;095945;2650.000000000;5;9463801584;B
20240125;095945;2650.000000000;10;9463801585;B
20240125;095945;2650.000000000;3;9463801586;B
20240125;095945;2650.000000000;1;9463801587;B
20240125;095945;2650.000000000;1;9463801588;B
20240125;095945;2650.000000000;1;9463801589;B
20240125;095945;2650.000000000;1;9463801590;B
20240125;095945;2650.000000000;2;9463801591;B
20240125;095945;2650.000000000;3;9463801592;B
20240125;095945;2650.000000000;6;9463801593;B
20240125;095945;2650.000000000;20;9463801594;B
20240125;095945;2650.000000000;1;9463801595;S
20240125;095945;2650.000000000;4;9463801596;B
20240125;095945;2650.000000000;10;9463801597;B
20240125;095945;2650.000000000;10;9463801598;B
20240125;095945;2650.000000000;13;9463801599;B
20240125;095945;2650.000000000;1;9463801600;B
20240125;095945;2650.000000000;5;9463801601;B
20240125;095945;2650.000000000;1;9463801602;B
20240125;095945;2650.000000000;2;9463801603;B
20240125;095945;2650.000000000;1;9463801604;B
20240125;095945;2650.000000000;10;9463801605;B
20240125;095945;2650.000000000;4;9463801606;B
20240125;095945;2650.000000000;77;9463801607;B
20240125;095945;2650.000000000;1;9463801608;B
20240125;095945;2650.000000000;1;9463801609;B
20240125;095945;2650.000000000;6;9463801610;B
20240125;095945;2650.000000000;14;9463801611;B
20240125;095945;2650.000000000;25;9463801612;B
20240125;095945;2650.000000000;1;9463801613;B
20240125;095945;2650.000000000;1;9463801614;B
20240125;095945;2650.000000000;12;9463801615;B
20240125;095945;2650.000000000;10;9463801616;B
20240125;095945;2650.000000000;4;9463801617;B
20240125;095945;2650.000000000;2;9463801618;B
20240125;095945;2650.000000000;1;9463801619;B
20240125;095945;2650.000000000;8;9463801620;B
20240125;095945;2650.000000000;22;9463801621;B
20240125;095945;2650.000000000;80;9463801622;S
20240125;095945;2650.000000000;16;9463801623;B
20240125;095945;2650.000000000;1;9463801624;B
20240125;095945;2650.000000000;5;9463801625;S
20240125;095945;2650.000000000;18;9463801626;S
20240125;095945;2650.000000000;34;9463801627;B
20240125;100000;2651.000000000;2;9463805040;B
20240125;100000;2651.000000000;78;9463805041;B
20240125;100000;2651.000000000;2;9463805101;B
20240125;100000;2651.800000000;20;9463805103;B
20240125;100000;2651.800000000;4;9463805129;B
20240125;100000;2652.000000000;3;9463805146;B
20240125;100000;2653.400000000;25;9463805240;B
20240125;100000;2653.400000000;1;9463805292;S
20240125;100000;2653.400000000;2;9463805293;S
20240125;100000;2653.400000000;7;9463805294;S
20240125;100000;2653.800000000;15;9463805412;S
20240125;100000;2653.800000000;1;9463805637;S
20240125;100000;2653.800000000;1;9463805805;S
20240125;100000;2653.800000000;20;9463805811;S
20240125;100001;2654.000000000;30;9463805834;B
20240125;100001;2654.000000000;10;9463805835;B
20240125;100001;2654.000000000;3;9463805836;B
20240125;100001;2654.000000000;2;9463805844;B
20240125;100001;2654.000000000;5;9463805878;B
20240125;100001;2654.000000000;12;9463805879;B
20240125;100001;2654.000000000;11;9463805880;B
20240125;100001;2653.800000000;3;9463805890;S
20240125;100001;2653.800000000;12;9463805891;S
20240125;100001;2654.000000000;12;9463805941;B
20240125;100001;2654.000000000;2;9463806018;B
20240125;100001;2654.000000000;2;9463806023;B
20240125;100001;2654.000000000;8;9463806024;B
20240125;100001;2654.000000000;6;9463806041;B
20240125;100001;2654.400000000;1;9463806065;S
20240125;100001;2654.400000000;10;9463806115;S
20240125;100001;2654.400000000;1;9463806212;S
20240125;100001;2654.400000000;6;9463806258;S
20240125;100001;2654.400000000;11;9463806260;S
20240125;100001;2654.400000000;2;9463806261;S
20240125;100001;2654.400000000;19;9463806272;S
20240125;100001;2654.400000000;10;9463806273;S
20240125;100001;2654.400000000;38;9463806274;S
20240125;100001;2653.800000000;15;9463806275;S
20240125;100001;2653.600000000;100;9463806276;S
20240125;100001;2651.800000000;114;9463806277;S
20240125;100001;2651.600000000;65;9463806278;S
20240125;100001;2651.400000000;100;9463806279;S
20240125;100001;2651.200000000;39;9463806280;S
20240125;100001;2651.000000000;50;9463806285;S
20240125;100001;2651.000000000;1;9463806311;S
20240125;100001;2651.000000000;64;9463806366;S
20240125;100001;2650.800000000;20;9463806367;S
20240125;100001;2650.000000000;35;9463806368;S
20240125;100001;2650.000000000;50;9463806369;S
20240125;100001;2650.000000000;3;9463806370;S
20240125;100001;2650.000000000;10;9463806372;B
20240125;100001;2648.800000000;100;9463806373;B
20240125;100001;2650.000000000;20;9463806381;B
20240125;100001;2650.000000000;50;9463806382;B
20240125;100001;2650.000000000;3;9463806394;B
20240125;100002;2650.000000000;3;9463806739;B
20240125;100002;2649.800000000;10;9463806822;B
20240125;100002;2649.000000000;10;9463806905;S
20240125;100002;2648.800000000;2;9463806921;B
20240125;100002;2649.800000000;3;9463806922;B
20240125;100002;2648.200000000;10;9463807001;S
20240125;100002;2649.800000000;10;9463807002;B
20240125;100002;2649.800000000;4;9463807096;B
20240125;100002;2649.800000000;10;9463807105;B
20240125;100002;2648.200000000;40;9463807373;S
20240125;100003;2648.200000000;10;9463807581;S
20240125;100003;2649.600000000;20;9463807603;B
20240125;100004;2649.800000000;1;9463808071;B
20240125;100004;2650.000000000;1;9463808072;B
20240125;100004;2650.000000000;24;9463808126;B
20240125;100004;2650.000000000;2;9463808406;B
20240125;100004;2650.000000000;20;9463808408;B
20240125;100004;2650.000000000;639;9463808420;B
20240125;100004;2650.000000000;1;9463808421;B
20240125;100004;2650.000000000;40;9463808422;B
20240125;100004;2650.000000000;1;9463808423;B
20240125;100004;2650.000000000;1;9463808424;B
20240125;100004;2650.000000000;2;9463808425;B
20240125;100004;2650.000000000;40;9463808426;B
20240125;100004;2650.000000000;1;9463808427;B
20240125;100004;2651.400000000;17;9463808441;B
20240125;100005;2652.000000000;2;9463808756;B
20240125;100005;2653.000000000;1;9463808757;B
20240125;100005;2650.400000000;10;9463808915;S
20240125;100005;2650.200000000;19;9463808916;S
20240125;100005;2650.200000000;1;9463808923;S
20240125;100005;2652.400000000;1;9463809428;B
20240125;100005;2653.000000000;1;9463809433;B
20240125;100005;2653.000000000;1;9463809628;B
20240125;100005;2652.000000000;1;9463809629;S
20240125;100005;2652.000000000;1;9463810045;S
20240125;100005;2653.000000000;1;9463810049;B
20240125;100005;2652.000000000;1;9463810099;S
20240125;100006;2653.000000000;7;9463810197;B
20240125;100006;2652.000000000;6;9463810360;S
20240125;100006;2652.000000000;1;9463810472;S
20240125;100006;2653.200000000;1;9463811153;B
20240125;100007;2653.200000000;5;9463811406;B
20240125;100008;2653.200000000;65;9463812307;B
20240125;100008;2653.400000000;2;9463812308;B
20240125;100008;2653.800000000;1;9463812309;B
20240125;100008;2653.800000000;50;9463812310;B
20240125;100008;2654.000000000;2;9463812311;B
20240125;100009;2653.800000000;2;9463812606;B
20240125;100009;2653.800000000;2;9463812632;B
20240125;100010;2653.800000000;10;9463812683;B
20240125;100010;2653.200000000;17;9463812697;S
20240125;100010;2653.000000000;4;9463812698;S
20240125;100010;2653.000000000;3;9463812699;S
20240125;100010;2653.800000000;1;9463812713;B
20240125;100010;2653.800000000;50;9463812740;B
20240125;100010;2652.600000000;1;9463812808;S
